,precision,recall,f1-score,support
0,0.9978978347698129,0.9997893850042123,0.9988427143608627,4748.0
1,0.9972365512159175,0.9987084870848708,0.99797197640118,5420.0
2,0.9983274095755802,0.99811872909699,0.9982230584300199,4784.0
3,0.9985734664764622,0.997557003257329,0.9980649760668092,4912.0
4,0.9987121699935608,0.9972138876982426,0.9979624664879357,4666.0
5,0.9997677119628339,0.9969886495251332,0.9983762468104848,4317.0
6,0.9978929624947324,0.9989453701750686,0.9984188890060083,4741.0
7,0.9943820224719101,0.9979863068868304,0.996180904522613,4966.0
8,0.9991449337323642,0.996376039224046,0.9977585654819084,4691.0
9,0.9962129181569535,0.9957939011566772,0.9960033655868742,4755.0
accuracy,0.9977708333333334,0.9977708333333334,0.9977708333333334,0.9977708333333334
macro avg,0.9978147980850126,0.99774777591094,0.9977803163154697,48000.0
weighted avg,0.9977731955898058,0.9977708333333334,0.9977710516383484,48000.0
