,precision,recall,f1-score,support
0,0.9991578947368421,0.9995787700084247,0.9993682880606444,4748.0
1,0.9972355326207151,0.9983394833948339,0.9977872026553568,5420.0
2,0.9981183357725277,0.9979096989966555,0.9980140064806104,4784.0
3,0.9975565058032987,0.9973534201954397,0.9974549526621195,4912.0
4,0.9984988205018228,0.9978568366909558,0.9981777253724943,4666.0
5,0.9986072423398329,0.9965253648366922,0.9975652173913044,4317.0
6,0.9976822587442057,0.9987344442100823,0.9982080742068092,4741.0
7,0.995177817962628,0.9973821989528796,0.9962787890978577,4966.0
8,0.9989318521683401,0.9968023875506289,0.9978659837814767,4691.0
9,0.9960042060988433,0.9960042060988433,0.9960042060988433,4755.0
accuracy,0.9976666666666667,0.9976666666666667,0.9976666666666667,0.9976666666666667
macro avg,0.9976970466749057,0.9976486810935435,0.9976724445807518,48000.0
weighted avg,0.9976677262235275,0.9976666666666667,0.9976667831467337,48000.0
