,precision,recall,f1-score,support
0,0.9987376393856512,0.9997893850042123,0.9992632354489001,4748.0
1,0.9968669369701437,0.997970479704797,0.9974184030979162,5420.0
2,0.997700668896321,0.997700668896321,0.997700668896321,4784.0
3,0.9977592177632919,0.9971498371335505,0.9974544343753182,4912.0
4,0.9984972091026192,0.9967852550364338,0.9976404976404977,4666.0
5,0.9986075655604548,0.9967570071809126,0.9976814282402039,4317.0
6,0.9970513900589723,0.998523518245096,0.9977869111602908,4741.0
7,0.9953768844221106,0.9971808296415626,0.9962780404385877,4966.0
8,0.9985049124305853,0.9965892133873374,0.9975461431772111,4691.0
9,0.9953742640874684,0.9955835962145111,0.9954789191462518,4755.0
accuracy,0.9974166666666666,0.9974166666666666,0.9974166666666666,0.9974166666666666
macro avg,0.9974476688677619,0.9974029790444735,0.9974248681621498,48000.0
weighted avg,0.997417680089363,0.9974166666666666,0.9974167243514762,48000.0
